Country or area,AgeGroup,Sex,Divorced,Married,Other,Widowed
Argentina,[15-19],Men,0.05001250312578144,0.6501625406351588,99.27481870467616,0.02500625156289072
Argentina,[15-19],Women,0.1249375312343828,4.072963518240879,95.7271364317841,0.07496251874062969
Argentina,[20-24],Men,0.27994401119776047,12.097580483903219,87.56248750249951,0.0599880023995201
Argentina,[20-24],Women,0.7394084732214227,24.960031974420463,74.14068745003996,0.15987210231814547
Argentina,[25-29],Men,0.8998200359928014,37.39252149570086,61.607678464307135,0.09998000399920016
Argentina,[25-29],Women,1.7189686188287028,47.191684989006596,50.72956226264241,0.3597841295222866
Argentina,[30-34],Men,1.6606642657062824,55.22208883553421,42.89715886354543,0.22008803521408565
Argentina,[30-34],Women,2.918249050569658,59.204477313611825,37.13771736957826,0.7395562662402558
Argentina,[35-39],Men,2.2790883646541387,63.614554178328675,33.7265093962415,0.3798480607756898
Argentina,[35-39],Women,4.199160167966406,64.04719056188762,30.25394921015797,1.4997000599880024
Argentina,[40-44],Men,3.018792483006797,67.29308276689324,28.928428628548588,0.7596961215513794
Argentina,[40-44],Women,5.356785928442934,65.72056765940437,26.10433739756145,2.818309014591245
Argentina,[45-49],Men,3.66,69.5,25.60000000000001,1.24
Argentina,[45-49],Women,6.11877624475105,65.64687062587483,22.9754049190162,5.258948210357928
Argentina,[50-54],Men,3.9984006397441028,70.41183526589364,23.47061175529788,2.1191523390643745
Argentina,[50-54],Women,6.22,63.22,21.14,9.42
Argentina,[55-59],Men,4.016786570743406,71.12310151878496,21.462829736211035,3.3972821742605914
Argentina,[55-59],Women,5.779999999999999,59.660000000000004,19.180000000000007,15.380000000000003
Argentina,[60-64],Men,3.719256148770246,70.80583883223356,20.035992801439704,5.438912217556488
Argentina,[60-64],Women,4.7571457125724566,53.86767939236458,17.64941035378773,23.725764541275236
Argentina,[65+],Men,4.2478760619690155,64.21789105447276,16.491754122938545,15.04247876061969
Argentina,[65+],Women,4.0479760119940025,29.93503248375812,14.292853573213392,51.724137931034484
Azerbaijan,[15-19],Men,0.14166666666666666,25.13333333333333,74.71666666666667,0.008333333333333335
Azerbaijan,[15-19],Women,0.26155858142934074,36.45665051157781,63.24332640972383,0.038464497269020695
Azerbaijan,[20-24],Men,0.10624335979001313,42.391100556215235,57.458908818198864,0.04374726579588776
Azerbaijan,[20-24],Women,0.9880028228652082,64.35544577746413,34.31545518701482,0.34109621265584567
Azerbaijan,[25-29],Men,0.61875,69.21875,30.0625,0.1
Azerbaijan,[25-29],Women,2.593965060878772,79.06593729780602,17.387212516910765,0.9528851244044468
Azerbaijan,[30-34],Men,1.0566462423408778,85.52582218331875,13.09866199824934,0.3188695760910341
Azerbaijan,[30-34],Women,3.558823529411765,84.4470588235294,10.011764705882356,1.9823529411764709
Azerbaijan,[35-39],Men,1.3431623664646717,91.64740426063597,6.584619229087281,0.4248141438120822
Azerbaijan,[35-39],Women,4.10958904109589,85.81927215003822,6.708213298841798,3.362925510024104
Azerbaijan,[40-44],Men,1.3562499999999997,94.93124999999999,3.09375,0.6187499999999999
Azerbaijan,[40-44],Women,3.7769149311683723,85.88657489116366,4.841746087775036,5.494764089892929
Azerbaijan,[45-49],Men,1.212272698868962,96.1132287696057,1.6746859963756862,0.9998125351496594
Azerbaijan,[45-49],Women,3.7943408435790347,83.5225601505971,3.9355256191540633,8.747573386669805
Azerbaijan,[50-54],Men,0.993563706804974,96.24445416484409,1.062300818596512,1.6996813097544208
Azerbaijan,[50-54],Women,3.3128916144514067,78.79616051193173,3.392880949206784,14.498066924410077
Azerbaijan,[55-59],Men,0.999875015623047,95.2193475815523,0.862392200974881,2.9183852018497687
Azerbaijan,[55-59],Women,2.5740197385969594,71.96585756201654,2.4206455054681157,23.03947719391838
Azerbaijan,[60-64],Men,0.9766976851495807,91.878797200646,0.7152195647158379,6.429285549488579
Azerbaijan,[60-64],Women,2.3381018304876178,57.48346408244886,2.030456852791872,38.14797723427166
China,[15-19],Men,0.022224691632403603,1.0445605067229693,98.93321480164462,0.0
China,[15-19],Women,0.0333370374486054,2.6002889209912206,97.35526169574398,0.0111123458162018
China,[20-24],Men,0.2554136590782899,22.942809550249862,76.76846196557469,0.033314825097168245
China,[20-24],Women,0.24433585073300756,41.548200799644604,58.14082629942248,0.06663705019991116
China,[25-29],Men,0.9551310528653931,69.13593958240783,29.75344291426032,0.15548645046645937
China,[25-29],Women,0.7219815617016551,84.52737976230146,14.58402754637342,0.16661112962345886
China,[30-34],Men,1.7990005552470847,87.52915047196001,10.349805663520272,0.3220433092726263
China,[30-34],Women,1.2659633536923933,94.85841199333704,3.4758467518045393,0.3997779011660189
China,[35-39],Men,2.22246916324036,91.3990443382598,5.811756861873548,0.5667296366262918
China,[35-39],Women,1.4995001666111296,96.29012551371765,1.3995334888370508,0.8108408308341664
China,[40-44],Men,2.2545535317636607,92.14793425144381,4.520213238560629,1.077298978231897
China,[40-44],Women,1.511111111111111,95.95555555555556,0.86666666666666,1.6666666666666667
China,[45-49],Men,2.0995334370139966,92.07953788047101,3.9102421684070094,1.9106865141079759
China,[45-49],Women,1.377471672961564,94.49011330815374,0.6887358364807881,3.44367918240391
China,[50-54],Men,1.999000499750125,91.5167416291854,3.6231884057971087,2.861069465267366
China,[50-54],Women,1.3371657085728568,92.00199950012497,0.7248187953011751,5.936015996000999
China,[55-59],Men,1.6493814819442707,89.828814194677,3.5861551918030727,4.9356491315756585
China,[55-59],Women,0.9746345120579784,87.51718105710358,0.6747469698863,10.833437460952144
China,[60-64],Men,1.2994430958160785,87.46251606454376,3.75553334285307,7.48250749678709
China,[60-64],Women,0.7425389118949023,81.50792517492503,0.7568185063544206,16.992717406825648
China,[65+],Men,0.8400000000000001,73.38,3.5999999999999943,22.180000000000003
China,[65+],Women,0.4599080183963207,50.52989402119575,0.8798240351929678,48.130373925214954
Egypt,[15-19],Men,0.020024028834601526,70.75490588706448,29.21505806968362,0.010012014417300763
Egypt,[15-19],Women,0.23672997001420384,83.0448734809827,16.67105055500025,0.047345994002840765
Egypt,[20-24],Men,0.16171261358385952,60.880948713999686,38.89573386724165,0.06160480517480363
Egypt,[20-24],Women,0.9619505690747177,86.40887661317205,12.34820705747893,0.28096576027429876
Egypt,[25-29],Men,0.38473376423514927,77.87011388119421,21.61434287473068,0.13080947983995075
Egypt,[25-29],Women,1.60453268580679,93.13431414559825,4.456506213398086,0.8046469551968767
Egypt,[30-34],Men,0.5768787016383355,91.13145142681333,8.030151526805625,0.2615183447427121
Egypt,[30-34],Women,1.9809523809523812,93.81904761904762,2.0904761904761813,2.1095238095238096
Egypt,[35-39],Men,0.6385106546657436,95.96892068620664,3.069466882067843,0.3231017770597739
Egypt,[35-39],Women,2.1147892355322697,92.19814241486068,1.3193617527982866,4.367706596808764
Egypt,[40-44],Men,0.723076923076923,96.87692307692308,1.8769230769230774,0.523076923076923
Egypt,[40-44],Women,2.2952380952380955,87.55714285714285,1.3238095238095298,8.823809523809524
Egypt,[45-49],Men,0.6304782408119328,97.23973550668921,1.2225126864524043,0.90727356604644
