Country or area,AgeGroup,Divorced,Married,Other,Widowed
Argentina,[15-19],0.08748906386701662,2.3622047244094486,97.50031246094238,0.04999375078115236
Argentina,[20-24],0.5097451274362819,18.53073463268366,80.8495752123938,0.10994502748625688
Argentina,[25-29],1.3094762095161936,42.29308276689325,56.16753298680528,0.2299080367852859
Argentina,[30-34],2.28977102289771,57.21427857214279,40.01599840015998,0.47995200479952005
Argentina,[35-39],3.239028291512546,63.83085074477657,31.99040287913627,0.9397180845746277
Argentina,[40-44],4.1879060469765115,66.50674662668665,27.516241879060487,1.7891054472763617
Argentina,[45-49],4.889511048895111,67.57324267573243,24.2875712428757,3.249675032496751
Argentina,[50-54],5.108978204359128,66.81663667266547,22.30553889222155,5.76884623075385
Argentina,[55-59],4.8980407836865245,65.39384246301479,20.321871251499402,9.38624550179928
Argentina,[60-64],4.238304678128749,62.33506597361056,18.842463014794077,14.584166333466614
Argentina,[65+],4.14792603698151,47.07646176911545,15.392303848075954,33.38330834582708
Azerbaijan,[15-19],0.20400816032641306,31.021240849633987,68.7507500300012,0.024000960038401537
Azerbaijan,[20-24],0.5605211331616422,53.70701408877443,45.53552492046659,0.19693985759733373
Azerbaijan,[25-29],1.636314051089361,74.2916881306627,23.532620223629593,0.5393775946183449
Azerbaijan,[30-34],2.345881069285325,84.96999454446262,11.5081529975147,1.1759713887373462
Azerbaijan,[35-39],2.768354737097165,88.64489944269445,6.648291737339463,1.9384540828689119
Azerbaijan,[40-44],2.603188072004364,90.27213770531547,3.9941814655433774,3.1304927571367958
Azerbaijan,[45-49],2.542270165444518,89.62790133931277,2.839221865341486,4.990606629901217
Azerbaijan,[50-54],2.1157877761651345,87.80196742460895,2.1899693597806618,7.8922754394452515
Azerbaijan,[55-59],1.761403961545906,83.96993354409962,1.6162333053745357,12.652429188979934
Azerbaijan,[60-64],1.657373582003461,74.68179196308402,1.372812920592196,22.288021534320322
China,[15-19],0.027780864540504498,1.8224247138570953,98.1442382486943,0.005556172908100901
China,[20-24],0.2498750624687656,32.24498861680271,67.45516130823478,0.04997501249375312
China,[25-29],0.8385627811406676,76.83123229855056,22.16915643916255,0.16104848114622095
China,[30-34],1.5324819544697392,91.19378123264853,6.912826207662405,0.36091060521932256
China,[35-39],1.860904343961782,93.84512831907567,3.6051549827796805,0.6888123541828686
China,[40-44],1.882914907798267,94.05132192846033,2.6938458120417863,1.3719173516996221
China,[45-49],1.7385025549877808,93.28482559431238,2.299489002443906,2.677182848255943
China,[50-54],1.668124453330001,91.75934024740722,2.1741846807447303,4.398350618518056
China,[55-59],1.3120079970011247,88.67299762589029,2.1304510808446935,7.884543296263901
China,[60-64],1.0209910038554906,84.4852206197344,2.2561759246037383,12.23761245180637
China,[65+],0.64993500649935,61.95380461953805,2.2397760223977627,35.15648435156484
Egypt,[15-19],0.1620857330068628,78.81160120012416,20.991826740697306,0.03448632617167293
Egypt,[20-24],0.6561718405178756,76.65440635574518,22.492276004119475,0.1971457996174783
Egypt,[25-29],1.1382687726109593,87.29962645960177,11.015029853819215,0.547074913968058
Egypt,[30-34],1.4440751742595805,92.79138848857387,4.361636422458162,1.4028999147083911
Egypt,[35-39],1.5502735776901808,93.64005412719892,1.9885862210978331,2.8210860740130617
Egypt,[40-44],1.6941176470588237,91.12058823529412,1.5352941176470551,5.65
Egypt,[45-49],1.5968709563580756,87.91612751441006,1.1263380778732,9.360663451358665
Egypt,[50-54],1.1653846153846152,84.09615384615384,1.2576923076923237,13.48076923076923
Egypt,[55-59],1.0153065148834706,79.45542650565342,1.1883701253749592,18.340896854088147
Egypt,[60-64],0.9079018234977304,69.86227590982536,1.1502654458721224,28.0795568208048
Egypt,[65+],0.65,51.7,4.75,42.9
France,[15-19],0.011940298507462687,3.0522388059701493,96.93283582089552,0.0029850746268656717
France,[20-24],0.6889939045270872,25.48729539072666,73.77576878296007,0.04794192178617902
France,[25-29],2.1640574707920726,54.68764980619358,42.96886770486639,0.17942501814795028
France,[30-34],4.164726505793092,69.88961625900463,25.54438631570298,0.40127091949930155
France,[35-39],5.697771568667735,75.4269904534933,18.123296489570066,0.751941488268891
France,[40-44],6.749205653555386,77.5638216281363,14.273583872028041,1.4133888462802675
France,[45-49],7.096297107800176,78.37834136722174,11.928954864154235,2.5964066608238388
France,[50-54],6.74475863612624,78.48093710363351,10.036558979332995,4.7377452809072595
France,[55-59],6.121748474040026,76.96807796200396,9.045323622905073,7.8648499410509345
France,[60-64],5.291036870141303,73.82980945701965,8.500574463957989,12.378579208881064
France,[65+],0.0,97.4,2.5999999999999943,0.0
India,[15-19],0.12961522793763655,58.38610524756508,41.391697218827545,0.09258230566974039
India,[20-24],0.3740463669357825,76.93874527812756,22.29464484112286,0.3925635138137916
India,[25-29],0.5924170616113744,89.47719194312796,9.019549763033183,0.9108412322274884
India,[30-34],0.4652173913043479,94.68260869565218,2.8043478260869534,2.0478260869565226
India,[35-39],0.43472590531669786,94.38334130330827,1.7041255488414464,3.477807242533583
India,[40-44],0.39561777236762025,92.11807668898358,1.5172593687505298,5.96904616989827
India,[45-49],0.3609480321809089,89.74994564035659,1.217656012176576,8.67145031528593
India,[50-54],0.33890771709539425,84.24356908717151,1.1500638924384674,14.26745930329463
India,[55-59],0.2998833786860665,81.57383239851168,1.027378241794878,17.09890598100738
India,[60-64],0.2832861189801699,69.86613342220741,1.1220352163528275,28.728545242459592
Indonesia,[15-19],0.6736310291292793,50.37760176828145,48.806673157382306,0.14209404520695737
